tirchonaill.dilys.1	디리스가 로그인했습니다.
variable.blackdragon_event_2012_avatar.28	글쎄, 니가 원하는 것을 맞춰 보자!
variable.blackdragon_event_2012_avatar.29	마셔, 아, 아! 너의 소원은 ... 그게 다야 .... <p/>맞아 ... 네 소원이 '그거야!'
variable.blackdragon_event_2012_avatar.30	<button title='글쎄, 그렇게 생겼어!' keyword='@Yes'/>
variable.blackdragon_event_2012_avatar.31	<button title='그게 아니야?' keyword='@No'/>
variable.blackdragon_event_2012_avatar.32	정말 죄송합니다. 검은 용 조각을 제공하지 않는 사람에게조차도 그의 소망을 충족시킬 수 없습니다! <p/>10 개 이상의 조각이 있다면 그것을 고려할 수도 있습니다.
variable.blackdragon_event_2012_dragon.1	(....)
variable.blackdragon_event_2012_envoy.1	블랙 드래곤의 헤럴드가 나타났습니다.
variable.blackdragon_event_2012_envoy.2	블랙 드래곤 메신저의 상점이 만들어졌습니다.
variable.blackdragon_event_2012_envoy.3	[1]활동
variable.blackdragon_event_2012_envoy.4	블랙 드래곤 메신저의 상점을 만들지 못했습니다.
variable.blackdragon_event_2012_envoy.5	[1]활동
variable.blackdragon_event_2012_envoy.6	검은 용이 나타났습니다. 친구가 내게 묻기를 원한다. 검은 용은 너무 오래 머물러 있지 않습니다.
variable.blackdragon_event_2012_envoy.7	검은 용을보고 싶다면, 달성하고자하는 욕구에 따라 검은 용 조각을 수집하십시오. 블랙 드래곤의 특정 숫자의 컬렉션만큼, 검은 용이 각성 될 것입니다.
variable.blackdragon_event_2012_envoy.8	나는 내 존재에 관심이없는 것처럼 보인다.
variable.blackdragon_event_2012_envoy.9	Dragon Wishing 활동이 시작된 해.
variable.blackdragon_event_2012_envoy.10	<button title='드래곤의 해를 축하해? 'keyword='@hint1'/>
variable.blackdragon_event_2012_envoy.11	<button title='이벤트 선물 받기' keyword='@reward'/>
variable.blackdragon_event_2012_envoy.12	<button title='거래' keyword='@shop'/>
variable.blackdragon_event_2012_envoy.13	<button title='블랙 드래곤 프래그먼트 제출' keyword='@shard'/>
variable.blackdragon_event_2012_envoy.14	<button title='다른 이벤트로 이동' keyword='@move'/>
variable.blackdragon_event_2012_envoy.15	전체 아일린은 이제 축제로 가득 차 있습니다. 아마도 모든 사람들이 블랙 드래곤을 기다리고 있기 때문에 모두의 소망을 충족시킬 것입니다.
variable.blackdragon_event_2012_envoy.16	축제 활동을 축하하는 동안 검은 용 조각을 수집합니다. 이 조각들의 수집이 제출된다면, 그것은 분명히 검은 용을 깨울 것입니다. 블랙 드래곤이 모든 이들에게 행운을 가져다 줄 것이라고 믿습니다. 파편을 수집 할 시간을 가지십시오.
variable.blackdragon_event_2012_envoy.17	불분명 한 장소가 있습니까?
variable.blackdragon_event_2012_envoy.18	<button title='수수께끼 같은 야시장은 어디 있습니까? 'keyword='@market'/>
variable.blackdragon_event_2012_envoy.19	<button title='아니, 고마워! 'keyword='@fin'/>
variable.blackdragon_event_2012_envoy.20	나는 키노 스의 Lunca Desert에 신비한 야시장이 있다는 소식을 들었다. 아무도 그들이 어디서 왔는지, 왜 그곳에 있는지 알지 못합니다.
variable.blackdragon_event_2012_envoy.21	또한 각 야간 시장은 다음 번에 어디서 나타날지 모르는 다른 지역에 개방되어 있습니다.
variable.blackdragon_event_2012_envoy.22	그러나 한 가지를 참조 용으로 사용할 수 있습니다. 그것이 야시장이 나타나는 곳이며, 거대한 패턴이 근처에있는 곳입니다.
variable.blackdragon_event_2012_envoy.23	사막에있는 거미, 전갈 자리, 물고기, 모래 벌레, 도마뱀 및 다른 많은 패턴. 그냥이 위치로 이동, 내가 찾을 것입니다. </p>기억해야 할 또 다른 요점 인 밤 시장은 저녁에만 나타납니다.
variable.blackdragon_event_2012_envoy.24	글쎄, 나는 새해 복 많이 받으 라.
variable.blackdragon_event_2012_envoy.25	<listbox page_size='10'title='티켓 목록'cancel='@end'>
variable.blackdragon_event_2012_envoy.26	<button title='총 이야기 티켓 (
variable.blackdragon_event_2012_envoy.27	/ 2 张) 'keyword='@reward_1'/>
variable.blackdragon_event_2012_envoy.28	<button title='도약 티켓
variable.blackdragon_event_2012_envoy.29	/ 10 张) 'keyword='@reward_2'/>
variable.blackdragon_event_2012_envoy.30	<button title='쿠폰 호핑 (
variable.blackdragon_event_2012_envoy.31	/ 5 张) 'keyword='@reward_3'/>
variable.blackdragon_event_2012_envoy.32	<button title='OX 티켓 (
variable.blackdragon_event_2012_envoy.33	/ 20 张) 'keyword='@reward_4'/>
variable.blackdragon_event_2012_envoy.34	<button title='야시장 티켓
variable.blackdragon_event_2012_envoy.35	/ 10 张) 'keyword='@reward_5'/>
variable.blackdragon_event_2012_envoy.36	선물을 받으려면 티켓을 지불해야합니다. 어떤 종류의 선물을 갖고 싶습니까?
variable.blackdragon_event_2012_envoy.37	선물이 만족 스럽습니까?
variable.blackdragon_event_2012_envoy.38	총 동원 보물 상자를 얻으려면 총 2 개의 동원 티켓을 지불해야합니다.
variable.blackdragon_event_2012_envoy.39	총 동원 보물 상자를 얻으려면 총 2 개의 동원 티켓을 지불해야합니다.
variable.blackdragon_event_2012_envoy.40	선물이 만족 스럽습니까?
variable.blackdragon_event_2012_envoy.41	점프 보드를 가져 오려면 10 장의 보드 티켓을 지불해야합니다.
variable.blackdragon_event_2012_envoy.42	선물이 만족 스럽습니까?
variable.blackdragon_event_2012_envoy.43	눈 쌓기를하고 싶다면 점프에 5 장의 쿠폰을 지불해야합니다.
variable.blackdragon_event_2012_envoy.44	눈 쌓기를하고 싶다면 점프에 5 장의 쿠폰을 지불해야합니다.
variable.blackdragon_event_2012_envoy.45	선물이 만족 스럽습니까?
variable.blackdragon_event_2012_envoy.46	OX 상자를 얻으려면 OX 티켓 20 장을 지불해야합니다.
variable.blackdragon_event_2012_envoy.47	OX 상자를 얻으려면 OX 티켓 20 장을 지불해야합니다.
variable.blackdragon_event_2012_envoy.48	선물이 만족 스럽습니까?
variable.blackdragon_event_2012_envoy.49	야시장 보물 상자를 얻으려면 10 야간 시장 티켓을 지불해야합니다.
variable.blackdragon_event_2012_envoy.50	야시장 보물 상자를 얻으려면 10 야간 시장 티켓을 지불해야합니다.
variable.blackdragon_event_2012_envoy.51	내가 필요한 다른 것이 있으면 여기에 오너라.
variable.blackdragon_event_2012_envoy.52	(너무 바빠서 나중에 이야기 해.)
variable.blackdragon_event_2012_envoy.53	이 품목은 행사 기간 동안 만 판매됩니다. 오직 이틀 동안의 사용에주의를 기울여야합니다.
variable.blackdragon_event_2012_envoy.54	블랙 드래곤이 등장했습니다. 일시적으로 검은 용 조각이 필요하지 않으며 나중에 제출하십시오.
variable.blackdragon_event_2012_envoy.55	검은 용을보고 싶지는 않아. 말해줘.
variable.blackdragon_event_2012_envoy.56	다음을 제출했습니다.
variable.blackdragon_event_2012_envoy.57	검은 용 조각. 너는 노동이있다.
variable.blackdragon_event_2012_envoy.58	나는 쿵푸 검은 용이 나타날 때까지 믿는다. 우리는 성공이 우리에게서 그리 멀지 않은 것은 분명히 주장해야합니다.
variable.blackdragon_event_2012_envoy.59	당신은 흑룡 단편을 가지고 있지 않지만 중요한 것은 축하 행사에 참여하는 것 뿐이며 당연히 수집 될 것입니다.
variable.blackdragon_event_2012_envoy.60	<listbox page_size='10'title='활동 목록'cancel='@end'>
variable.blackdragon_event_2012_envoy.61	<button title='OX Q & A' keyword='@event_1'/>
variable.blackdragon_event_2012_envoy.62	<button title='눈 활동' keyword='@event_2'/>
variable.blackdragon_event_2012_envoy.63	<button title='미스테리 야시장' keyword='@event_3'/>
variable.blackdragon_event_2012_envoy.64	<button title='드래곤 위시리스트' keyword='@event_4'/>
variable.blackdragon_event_2012_envoy.65	장소를 선택하십시오.
variable.blackdragon_event_2012_envoy.66	(방금 얻은 날개를 사용하여 이벤트 위치로 이동하십시오.)
variable.blackdragon_event_2012_envoy.67	(너무 바빠서 나중에 이야기 해.)
variable.blackdragon_event_2012_envoy.68	이제는 블랙 드래곤의 호흡을 느낄 수 없습니다.
variable.blackdragon_event_2012_envoy.69	블랙 드래곤이 등장하면 사람들의 포부를 실현할 수 있다는 소문이 있습니다. 흥분한 사람들은 여러 곳에서 그들의 삶을 축하하고 축복하기 시작했습니다.
variable.blackdragon_event_2012_envoy.70	우리는 또한 참여, 축하 분위기의 축제를 즐길 수 있습니다. 행운과 특별한 보상이 항상 당신과 함께 할 것이라는 것을 믿으십시오.
variable.blackdragon_event_2012_envoy.71	새해의 행운은 항상 당신과 함께합니다!
variable.blackdragon_event_2012_envoy.72	활동 날개 글쎄, 아이린 시간은 하루에 한 번만 주어질 것입니다. 참을성있게 기다려야 해.
variable.blackdragon_event_2012_envoy1.1	당신은 검은 용 조각을 제출했습니다.
variable.blackdragon_event_2012_envoy1.2	나는 그것을 받아 들인다.
variable.blackdragon_event_2012_envoy1.3	흑룡 단은 그의 파편에 계속해서 열심히 노력한다면 반드시 만져질 것입니다.
variable.blackdragon_event_2012_envoy1.4	걱정하지 마세요, 적어도 10 조각의 검은 용을 가지고 있다면 축하에 잠길 때 검은 용 조각이 모를 정도로 모릅니다.
variable.blackdragon_event_2012_envoy2.1	당신은 검은 용 조각을 제출했습니다.
variable.blackdragon_event_2012_envoy2.2	나는 그것을 받아 들인다.
variable.blackdragon_event_2012_envoy2.3	흑룡 단은 그의 파편에 계속해서 열심히 노력한다면 반드시 만져질 것입니다.
variable.blackdragon_event_2012_envoy2.4	걱정하지 마세요, 적어도 10 조각의 검은 용을 가지고 있다면 축하에 잠길 때 검은 용 조각이 모를 정도로 모릅니다.
variable.blackdragon_event_2012_envoy3.1	당신은 검은 용 조각을 제출했습니다.
variable.blackdragon_event_2012_envoy3.2	나는 그것을 받아 들인다.
variable.blackdragon_event_2012_envoy3.3	흑룡 단은 그의 파편에 계속해서 열심히 노력한다면 반드시 만져질 것입니다.
variable.blackdragon_event_2012_envoy3.4	걱정하지 마세요, 적어도 10 조각의 검은 용을 가지고 있다면 축하에 잠길 때 검은 용 조각이 모를 정도로 모릅니다.
variable.blackdragon_event_2012_envoy4.1	당신은 검은 용 조각을 제출했습니다.
variable.blackdragon_event_2012_envoy4.2	나는 그것을 받아 들인다.
variable.blackdragon_event_2012_envoy4.3	흑룡 단은 그의 파편에 계속해서 열심히 노력한다면 반드시 만져질 것입니다.
variable.blackdragon_event_2012_envoy4.4	걱정하지 마세요, 적어도 10 조각의 검은 용을 가지고 있다면 축하에 잠길 때 검은 용 조각이 모를 정도로 모릅니다.
variable.blackdragon_event_2012_envoy5.1	당신은 검은 용 조각을 제출했습니다.
variable.blackdragon_event_2012_envoy5.2	나는 그것을 받아 들인다.
variable.blackdragon_event_2012_envoy5.3	흑룡 단은 그의 파편에 계속해서 열심히 노력한다면 반드시 만져질 것입니다.
variable.blackdragon_event_2012_envoy5.4	걱정하지 마세요, 적어도 10 조각의 검은 용을 가지고 있다면 축하에 잠길 때 검은 용 조각이 모를 정도로 모릅니다.
variable.blackdragon_event_2012_envoy6.1	당신은 검은 용 조각을 제출했습니다.
variable.blackdragon_event_2012_envoy6.2	나는 그것을 받아 들인다.
variable.blackdragon_event_2012_envoy6.3	흑룡 단은 그의 파편에 계속해서 열심히 노력한다면 반드시 만져질 것입니다.
variable.blackdragon_event_2012_envoy6.4	걱정하지 마세요, 적어도 10 조각의 검은 용을 가지고 있다면 축하에 잠길 때 검은 용 조각이 모를 정도로 모릅니다.
variable.blackdragon_event_2012_envoy7.1	당신은 검은 용 조각을 제출했습니다.
variable.blackdragon_event_2012_envoy7.2	나는 그것을 받아 들인다.
variable.blackdragon_event_2012_envoy7.3	흑룡 단은 그의 파편에 계속해서 열심히 노력한다면 반드시 만져질 것입니다.
variable.blackdragon_event_2012_envoy7.4	걱정하지 마세요, 적어도 10 조각의 검은 용을 가지고 있다면 축하에 잠길 때 검은 용 조각이 모를 정도로 모릅니다.
variable.blackdragon_event_2012_envoy8.1	당신은 검은 용 조각을 제출했습니다.
variable.blackdragon_event_2012_envoy8.2	나는 그것을 받아 들인다.
variable.blackdragon_event_2012_envoy8.3	흑룡 단은 그의 파편에 계속해서 열심히 노력한다면 반드시 만져질 것입니다.
variable.blackdragon_event_2012_envoy8.4	걱정하지 마세요, 적어도 10 조각의 검은 용을 가지고 있다면 축하에 잠길 때 검은 용 조각이 모를 정도로 모릅니다.
variable.blackdragon_event_2012_envoy9.1	당신은 검은 용 조각을 제출했습니다.
variable.blackdragon_event_2012_envoy9.2	나는 그것을 받아 들인다.
variable.blackdragon_event_2012_envoy9.3	흑룡 단은 그의 파편에 계속해서 열심히 노력한다면 반드시 만져질 것입니다.
variable.blackdragon_event_2012_envoy9.4	걱정하지 마세요, 적어도 10 조각의 검은 용을 가지고 있다면 축하에 잠길 때 검은 용 조각이 모를 정도로 모릅니다.
variable.blackdragon_event_2012_market_blacksmith.1	대장장이 소재 실업가 등장.
variable.blackdragon_event_2012_market_blacksmith.2	대장장이 상점이 성공적으로 만들어졌습니다.
variable.blackdragon_event_2012_market_blacksmith.3	[1]활동
variable.blackdragon_event_2012_market_blacksmith.4	대장장이의 상점 창설에 실패했습니다.
variable.blackdragon_event_2012_market_blacksmith.5	[1]활동
variable.blackdragon_event_2012_market_blacksmith.6	대장장이 재료가 필요합니다 ~ ~ ~ 보시고 ~ ~ 절대 가치! ~ ~ 1 일 20 개 한정 판매, ~ 주문을 빨리 할 필요가 있습니다!
variable.blackdragon_event_2012_market_blacksmith.7	내 존재를 신경 쓰지 않는 것 같습니다.
variable.blackdragon_event_2012_market_blacksmith.8	~에 선택합니다. 나는 여기에 다양한 재료를 판매한다. 물론 특수 소재는 특별 가격입니다.
variable.blackdragon_event_2012_market_blacksmith.9	<button title='거래' keyword='@shop'/>
variable.blackdragon_event_2012_market_blacksmith.10	<button title='' keyword='@end'/>를보십시오.
variable.blackdragon_event_2012_market_blacksmith.11	이러한 것들은 야간 시장에서만 판매되어야합니다. 그러나 매일 20 장이 한정 판매됩니다. 따라서 재고가 만료되기 전에 오래 걸립니다.
variable.blackdragon_event_2012_market_blacksmith.12	구입, 항상 ~ 장사 할 생각합니다!
variable.blackdragon_event_2012_market_blacksmith.13	문 닫을 거의 시간.
variable.blackdragon_event_2012_market_carpentry.1	목수 소재 사업가 등장.
variable.blackdragon_event_2012_market_carpentry.2	Carpenter 사업가 상점이 성공적으로 만들어졌습니다.
variable.blackdragon_event_2012_market_carpentry.3	[1]활동
variable.blackdragon_event_2012_market_carpentry.4	카펜터 사업가 상점을 만들지 못했습니다.
variable.blackdragon_event_2012_market_carpentry.5	[1]활동
variable.blackdragon_event_2012_market_carpentry.6	와서 ~ 아를 보러 ~ 목공 재료가 필요하고 아 ~ ~ 기계가 더 이상 오 잃을 수 없어 필요합니다 ~ ~ 20 일 한정 판매, ~을 잡을 시간을 살!
variable.blackdragon_event_2012_market_carpentry.7	내 존재를 신경 쓰지 않는 것 같습니다.
variable.blackdragon_event_2012_market_carpentry.8	~에 선택합니다. 나는 여기에 다양한 재료를 판매한다. 물론 특수 소재는 특별 가격입니다.
variable.blackdragon_event_2012_market_carpentry.9	<button title='거래' keyword='@shop'/>
variable.blackdragon_event_2012_market_carpentry.10	<button title='' keyword='@end'/>를보십시오.
variable.blackdragon_event_2012_market_carpentry.11	이러한 것들은 야간 시장에서만 판매되어야합니다. 그러나 매일 20 장이 한정 판매됩니다. 따라서 재고가 만료되기 전에 오래 걸립니다.
variable.blackdragon_event_2012_market_carpentry.12	구입, 항상 ~ 장사 할 생각합니다!
variable.blackdragon_event_2012_market_carpentry.13	문 닫을 거의 시간.
variable.blackdragon_event_2012_market_cooking.1	요리 재료 사업가 등장.
variable.blackdragon_event_2012_market_cooking.2	요리 재료 상인을위한 상점이 만들어졌습니다.
variable.blackdragon_event_2012_market_cooking.3	[1]활동
variable.blackdragon_event_2012_market_cooking.4	재료를 요리하는 상인을 위해 상점을 만들지 못했습니다.
variable.blackdragon_event_2012_market_cooking.5	[1]활동
variable.blackdragon_event_2012_market_cooking.6	와서 ~ 아 ~ 보셔야합니다 재료를 보러 가야하고 아 ~ ~ 신선한 재료가 많이 있습니다 아 ~ | 제한된 일일 판매 20 명만 잡아 시간을 잡아 ~!
variable.blackdragon_event_2012_market_cooking.7	내 존재를 신경 쓰지 않는 것 같습니다.
variable.blackdragon_event_2012_market_cooking.8	~에 선택합니다. 나는 여기에 다양한 재료를 판매한다. 물론 특수 소재는 특별 가격입니다.
variable.blackdragon_event_2012_market_cooking.9	<button title='거래' keyword='@shop'/>
variable.blackdragon_event_2012_market_cooking.10	<button title='' keyword='@end'/>를보십시오.
variable.blackdragon_event_2012_market_cooking.11	이러한 것들은 야간 시장에서만 판매되어야합니다. 그러나 매일 20 장이 한정 판매됩니다. 따라서 재고가 만료되기 전에 오래 걸립니다.
variable.blackdragon_event_2012_market_cooking.12	구입, 항상 ~ 장사 할 생각합니다!
variable.blackdragon_event_2012_market_cooking.13	문 닫을 거의 시간.
variable.blackdragon_event_2012_market_game_f.1	신비한 야시장! 와서 다트 게임 ~ ~! ~ 기다릴 시간 ~ 망설이지 말고 ~ ~ 놀아 라! 새벽 ~ 사라질 수있다!
variable.blackdragon_event_2012_market_game_f.2	(통신 할 수없는 것 같습니다)
variable.blackdragon_event_2012_market_game_f.3	다트 게임을 신청할 수 있습니다. <button title='대기 신청보기' keyword='@apply'/><button title=
variable.blackdragon_event_2012_market_game_f.4	재미 있니? 재미 있으면 게임을 마친 후 다시 신청할 수 있습니다.
variable.blackdragon_event_2012_market_game_f.5	좋아, 너의 신청서를 수락했다.
variable.blackdragon_event_2012_market_game_f.6	咦? 이미 다른 게임을 신청하셨습니다. 죄송합니다. 이런 식으로 더 이상 게임을 신청할 수 없습니다.
variable.blackdragon_event_2012_market_game_f.7	재미 있니? 재미 있으면 게임을 마친 후 다시 신청할 수 있습니다.
variable.blackdragon_event_2012_market_game_f.8	팀이 완료되면 선장 만 게임을 신청할 수 있습니다. 게임을하는 경우 먼저 게임을 끝내야합니다.
variable.blackdragon_event_2012_market_game_f.9	종료 하시겠습니까? 이제 게임이 이미 진행 중입니다.
variable.blackdragon_event_2012_market_game_f.10	{0} 휠이 게임에 들어가기를 기다립니다.
variable.blackdragon_event_2012_market_game_f.11	현재 게임 팀에 관여하지 않습니다, 아를 잃지 말아야한다, 지금 신청하십시오!
variable.blackdragon_event_2012_market_game_f.12	너 여기 적용 안 했잖아, 그렇지?
variable.blackdragon_event_2012_market_game_f.13	먼저 4 명과 팀을 구성하여 나에게 신청서를 제출하면 게임을 할 수 있습니다. <p/>게임이 시작되면 왼쪽의 점수에 목표 점수가 표시됩니다. 3 번 던지기 후에, 당신의 표적 점수의 가까이에 얻는 것을 시도하십시오. 그러나 점수 값을 초과하면 챌린지 실패로 간주됩니다. <p/>다트 판의 오른쪽에는 바람의 방향과 다트를 던지는 바람이 표시되어 있으며 참고로 사용할 수 있습니다. <p/>다른 던지기 결과에 따르면, 선물은 다른 수준 오를 것이다! 게임에 오신 것을 환영합니다.
variable.blackdragon_event_2012_market_game_f.14	와우 아 ~ 선물입니다! 정말 고마워요!
variable.blackdragon_event_2012_market_game_m.1	신비로운 밤 시장, 당신은 또 다른 재미를 즐길 수 있습니다! 망치 게임을 치려고 ~ ~! 힘! 남자의 상징 와서 놀아 라! 새벽에는 재미 없어! 모두들 서둘러!
variable.blackdragon_event_2012_market_game_m.2	(통신 할 수없는 것 같습니다)
variable.blackdragon_event_2012_market_game_m.3	스매쉬 해머 게임을 신청할 수 있습니다. <button title='대기 신청보기' keyword='@apply'/><button title=
variable.blackdragon_event_2012_market_game_m.4	재미 있니? 재미 있으면 게임을 마친 후 다시 신청할 수 있습니다.
variable.blackdragon_event_2012_market_game_m.5	이미 승인되었습니다.
variable.blackdragon_event_2012_market_game_m.6	咦? 이미 다른 게임을 신청하셨습니다. 죄송합니다. 이런 식으로 더 이상 게임을 신청할 수 없습니다.
variable.blackdragon_event_2012_market_game_m.7	재미 있니? 재미 있다면, 라운드가 끝난 후 다시 신청서를 제출할 수 있습니다.
variable.blackdragon_event_2012_market_game_m.8	팀을 결성 한 후에는 선장 만 게임을 신청할 수 있습니다. 다른 게임 아이템이 있다면 가능한 한 게임을 끝내야합니다.
variable.blackdragon_event_2012_market_game_m.9	그만두고 싶니? 게임이 시작되었습니다.
variable.blackdragon_event_2012_market_game_m.10	{0} 바퀴를 다시 기다리십시오. 잠시만 기다려주세요.
variable.blackdragon_event_2012_market_game_m.11	현재 게임을 할 팀이 없습니다. 물론, 빨리 신청하십시오!
variable.blackdragon_event_2012_market_game_m.12	아직 게임을 신청하지 않았습니다.
variable.blackdragon_event_2012_market_game_m.13	4 명에서 8 명으로 구성된 팀으로 구성되어 스매쉬 해머 게임을 경험 해보세요. <p/>게임이 시작되면 팀원 전원이 차례로 "망치질"을하라는 지시를 받게됩니다. 단지 망치를 무력으로 떨어 뜨리십시오. <p/>낙하 높이가 높을수록 점수가 높을수록 낙하 높이가 높을수록 점수가 높아집니다. <p/>선물은 순위에 따라 결정됩니다. 그러나 점수가 100 점 미만이면 취하지 않습니다. 나는 행운을 빌어!
variable.blackdragon_event_2012_market_game_m.14	아 선물이 있습니다! 정말 고마워요!
variable.blackdragon_event_2012_market_handicraft.1	수공예 재료 실업가 등장.
variable.blackdragon_event_2012_market_handicraft.2	공예품 상인의 상점이 만들어졌습니다.
variable.blackdragon_event_2012_market_handicraft.3	[1]활동
variable.blackdragon_event_2012_market_handicraft.4	상인의 공예품 상점을 만들지 못했습니다.
variable.blackdragon_event_2012_market_handicraft.5	[1]활동
variable.blackdragon_event_2012_market_handicraft.6	오셔서 ~ 아 ~ ~ 수공예 자료를 보러 올 필요가 ~ 아 ~ 판매를위한 희소 한 재료가 많이 있습니다 ~ ~ 하루에 한정 판매, 하루에 잡는 시간을 잡아 ~ ~!
variable.blackdragon_event_2012_market_handicraft.7	내 존재를 신경 쓰지 않는 것 같습니다.
variable.blackdragon_event_2012_market_handicraft.8	~에 선택합니다. 나는 여기에 다양한 재료를 판매한다. 물론 특수 소재는 특별 가격입니다.
variable.blackdragon_event_2012_market_handicraft.9	<button title='거래' keyword='@shop'/>
variable.blackdragon_event_2012_market_handicraft.10	<button title='' keyword='@end'/>를보십시오.
variable.blackdragon_event_2012_market_handicraft.11	이러한 것들은 야간 시장에서만 판매되어야합니다. 그러나 매일 20 장이 한정 판매됩니다. 따라서 재고가 만료되기 전에 오래 걸립니다.
variable.blackdragon_event_2012_market_handicraft.12	구입, 항상 ~ 장사 할 생각합니다!
variable.blackdragon_event_2012_market_handicraft.13	문 닫을 거의 시간.
variable.blackdragon_event_2012_market_weaving.1	섬유 소재 사업가 등장.
variable.blackdragon_event_2012_market_weaving.2	섬유 소재 상인의 상점이 만들어졌습니다.
variable.blackdragon_event_2012_market_weaving.3	[1]활동
variable.blackdragon_event_2012_market_weaving.4	섬유 재료 상인의 상점을 만들지 못했습니다.
variable.blackdragon_event_2012_market_weaving.5	[1]활동
variable.blackdragon_event_2012_market_weaving.6	와서 ~ 아 ~ ~ 섬유 재료에 대한 필요성이 와서 아 ~ ~ 거기에 판매를위한 희소 한 물질이 많이 있습니다 ~ 오 ~ | 한정 판매, 하루에 20 조각 한정 판매 ~ ~을 살 수있는 시간을 잡아!
variable.blackdragon_event_2012_market_weaving.7	내 존재를 신경 쓰지 않는 것 같습니다.
variable.blackdragon_event_2012_market_weaving.8	~에 선택합니다. 나는 여기에 다양한 재료를 판매한다. 물론 특수 소재는 특별 가격입니다.
variable.blackdragon_event_2012_market_weaving.9	<button title='거래' keyword='@shop'/>
variable.blackdragon_event_2012_market_weaving.10	<button title='' keyword='@end'/>를보십시오.
variable.blackdragon_event_2012_market_weaving.11	이러한 것들은 야간 시장에서만 판매되어야합니다. 그러나 매일 20 장이 한정 판매됩니다. 따라서 재고가 만료되기 전에 오래 걸립니다.
variable.blackdragon_event_2012_market_weaving.12	구입, 항상 ~ 장사 할 생각합니다!
variable.blackdragon_event_2012_market_weaving.13	문 닫을 거의 시간.
variable.blackwizardnpc.1	강력한 힘을 갖고 싶은가? |간신히 왔는지…|오는 것을 기다리고 있었다. ||||
variable.blackwizardnpc.2	(말이 통하지 않는 것 같다.)
variable.blackwizardnpc.3	쓸데없는…. |예에서도 말한다고 생각했는지? |나에게는 필요없다….
variable.blossoms_soul.1	누군가 나를 도와 주세요…
variable.blossoms_soul.2	(말이 통하지 않는 것 같다.)
variable.blossoms_soul.3	돌연의 일로 당황해지겠지만, 나는 여기를 떠날 수 없기 때문에,<br/>하나 부탁을 하도록 해 받고 싶습니다. <br/>이 계절은, 이 에린의 어디선가 벚꽃이 만개가 되는 것 같습니다. <br/>벚꽃나무를 찾아내, 나에게 벚꽃을 보여 주시지 않겠습니까?
variable.blossoms_soul.4	벚꽃을 가져와 주신 것이군요. 아아… 정말로 예쁘다…<br/>돌연의 부탁인데 정말로 감사합니다. <p/>이 벚꽃입니다만, 나의 힘을 조금 주어 벚꽃의 머리 치장으로 해 보았습니다. <br/>감사의 표에… <username/>씨 부디 받아 주세요.
variable.blossoms_soul.5	(유령은 내가 이야기하는 것을 기다리고 있는 것 같다.)
variable.blossoms_soul.6	<npcportrait name='NONE'/><title name='NONE'/>유령과의 이야기를 끝냈다.
variable.blossoms_soul.7	위로해 주셔 정말로 감사합니다.
variable.blossoms_soul.8	정말로 감사합니다.
variable.blossoms_soul.9	정말로 감사합니다.
variable.blossoms_soul.10	정말로 감사합니다.
variable.blossoms_soul.11	부디 부탁합니다… 벚꽃을 보는 것이 나의 소원인 것입니다. <br/>
variable.blossoms_soul.12	<username/>씨, 부디 그 벚꽃, 소중히 해 주세요.
variable.blossoms_soul.13	나는 여기를 떠나는 것이 할 수 없습니다.
variable.blossoms_soul.14	어디선가 벚꽃나무가 꽃을 피운 것 같습니다.
variable.blossoms_soul.15	지금, 내가 서 있는 장소입니다.
variable.blossoms_soul.16	죄송합니다. 잘 모릅니다.
variable.bomberman.1	Bomberman이 나타났습니다.
variable.bomberman.2	폭발 할 폭탄! ! 咣 咣! 낄낄 기운 ~ | 하루 폭탄의 제한된 공급량 아 ~ 낄낄 거리는 소리가 약간! 와서 나를 찾아라! 허희희 ...
variable.bomberman.3	나는 동물이 싫어! 떠나, 가버려!
variable.bomberman.4	낄낄 거림, 나는 폭파 범이야! 너가 나 한테서 폭탄을 가져 가고 싶으면, 나 근처에 서있어. 폭탄이 방출 된 후 5 분 안에 폭발 할 것입니다! 당신이 살기를 원한다면 가능한 한 빨리 다른 사람들에게 전가해야합니다! 웃어!
variable.bomberman.5	으응?<br/>이게 뭐지?
variable.caravanjoe.3	[0]아이겐포스트
variable.caravanjoe.5	자~화창한 7월입니다~!! |저 캐러반─조가 던바튼을 다시 찾았습니다~유후~! |다른 곳에서는 구할 수 없는, 캐러반 조만의 특별한 상품이 바로 여기에! |자~자! 서두르지 않으면 매진! |언제까지고 여기 있는게 아니라구요오오~.
variable.caravanjoe.7	<npcportrait name='NONE'/><title name='NONE'/>광대인지 상인인지 모를, 우스운 머리모양과 옷차림의 남자다. <br/>왠지 말이 많을 것 같다. <br/><button title='계속하기' keyword='@continue'/>
variable.caravanjoe.8	<npcportrait name='NONE'/><title name='캐러반─조'/>캐러반─조의 상점에 잘 오셨습니다~<br/>
variable.caravanjoe.9	<npcportrait name='NONE'/><title name='캐러반─조'/>안녕하세요? <br/>뭔가, 특별한 것을 찾고 계신가요? <button title='대화를 한다' keyword='@talk'/><button title='거래를 한다' keyword='@shop'/>
variable.caravanjoe.10	<npcportrait name='NONE'/><title name='캐러반─조'/>더 필요하신게 있다면, 부담갖지 말고, 말씀하십쇼~<br/><br/><button title='대화 끝내기' keyword='@end'/><button title='대화를 한다' keyword='@talk'/><button title='거래를 한다' keyword='@shop'/>
